date,event
2021-01-08,NFP
2021-01-13,CPI
2021-01-15,PPI
2021-01-15,RETAIL
2021-01-27,FOMC
2021-01-28,GDP
2021-02-05,NFP
2021-02-10,CPI
2021-02-17,PPI
2021-02-17,RETAIL
2021-02-25,GDP
2021-03-05,NFP
2021-03-10,CPI
2021-03-12,PPI
2021-03-16,RETAIL
2021-03-17,FOMC
2021-03-25,GDP
2021-04-02,NFP
2021-04-09,PPI
2021-04-13,CPI
2021-04-15,RETAIL
2021-04-28,FOMC
2021-04-29,GDP
2021-05-07,NFP
2021-05-12,CPI
2021-05-13,PPI
2021-05-14,RETAIL
2021-05-27,GDP
2021-06-04,NFP
2021-06-10,CPI
2021-06-15,PPI
2021-06-15,RETAIL
2021-06-16,FOMC
2021-06-24,GDP
2021-07-02,NFP
2021-07-13,CPI
2021-07-14,PPI
2021-07-16,RETAIL
2021-07-28,FOMC
2021-07-29,GDP
2021-08-06,NFP
2021-08-11,CPI
2021-08-12,PPI
2021-08-17,RETAIL
2021-08-26,GDP
2021-09-03,NFP
2021-09-10,PPI
2021-09-14,CPI
2021-09-16,RETAIL
2021-09-22,FOMC
2021-09-30,GDP
2021-10-08,NFP
2021-10-13,CPI
2021-10-14,PPI
2021-10-15,RETAIL
2021-10-28,GDP
2021-11-03,FOMC
2021-11-05,NFP
2021-11-09,PPI
2021-11-10,CPI
2021-11-16,RETAIL
2021-11-24,GDP
2021-12-03,NFP
2021-12-10,CPI
2021-12-14,PPI
2021-12-15,FOMC
2021-12-15,RETAIL
2021-12-22,GDP
2022-01-07,NFP
2022-01-12,CPI
2022-01-13,PPI
2022-01-14,RETAIL
2022-01-26,FOMC
2022-01-27,GDP
2022-02-04,NFP
2022-02-10,CPI
2022-02-15,PPI
2022-02-16,RETAIL
2022-02-24,GDP
2022-03-04,NFP
2022-03-10,CPI
2022-03-15,PPI
2022-03-16,FOMC
2022-03-16,RETAIL
2022-03-30,GDP
2022-04-01,NFP
2022-04-12,CPI
2022-04-13,PPI
2022-04-14,RETAIL
2022-04-28,GDP
2022-05-04,FOMC
2022-05-06,NFP
2022-05-11,CPI
2022-05-12,PPI
2022-05-17,RETAIL
2022-05-26,GDP
2022-06-03,NFP
2022-06-10,CPI
2022-06-14,PPI
2022-06-15,FOMC
2022-06-15,RETAIL
2022-06-29,GDP
2022-07-08,NFP
2022-07-13,CPI
2022-07-14,PPI
2022-07-15,RETAIL
2022-07-27,FOMC
2022-07-28,GDP
2022-08-05,NFP
2022-08-10,CPI
2022-08-11,PPI
2022-08-17,RETAIL
2022-08-25,GDP
2022-09-02,NFP
2022-09-13,CPI
2022-09-14,PPI
2022-09-15,RETAIL
2022-09-21,FOMC
2022-09-29,GDP
2022-10-07,NFP
2022-10-12,PPI
2022-10-13,CPI
2022-10-14,RETAIL
2022-10-27,GDP
2022-11-02,FOMC
2022-11-04,NFP
2022-11-10,CPI
2022-11-15,PPI
2022-11-16,RETAIL
2022-11-30,GDP
2022-12-02,NFP
2022-12-09,PPI
2022-12-13,CPI
2022-12-14,FOMC
2022-12-15,RETAIL
2022-12-22,GDP
2023-01-06,NFP
2023-01-12,CPI
2023-01-18,PPI
2023-01-18,RETAIL
2023-01-26,GDP
2023-02-01,FOMC
2023-02-03,NFP
2023-02-14,CPI
2023-02-15,RETAIL
2023-02-16,PPI
2023-02-23,GDP
2023-03-10,NFP
2023-03-14,CPI
2023-03-15,PPI
2023-03-15,RETAIL
2023-03-22,FOMC
2023-03-30,GDP
2023-04-07,NFP
2023-04-12,CPI
2023-04-13,PPI
2023-04-14,RETAIL
2023-04-27,GDP
2023-05-03,FOMC
2023-05-05,NFP
2023-05-10,CPI
2023-05-11,PPI
2023-05-16,RETAIL
2023-05-25,GDP
2023-06-02,NFP
2023-06-13,CPI
2023-06-14,FOMC
2023-06-14,PPI
2023-06-15,RETAIL
2023-06-29,GDP
2023-07-07,NFP
2023-07-12,CPI
2023-07-13,PPI
2023-07-18,RETAIL
2023-07-26,FOMC
2023-07-27,GDP
2023-08-04,NFP
2023-08-10,CPI
2023-08-11,PPI
2023-08-15,RETAIL
2023-08-30,GDP
2023-09-01,NFP
2023-09-13,CPI
2023-09-14,PPI
2023-09-14,RETAIL
2023-09-20,FOMC
2023-09-28,GDP
2023-10-06,NFP
2023-10-11,PPI
2023-10-12,CPI
2023-10-17,RETAIL
2023-10-26,GDP
2023-11-01,FOMC
2023-11-03,NFP
2023-11-14,CPI
2023-11-15,PPI
2023-11-15,RETAIL
2023-11-29,GDP
2023-12-08,NFP
2023-12-12,CPI
2023-12-13,FOMC
2023-12-13,PPI
2023-12-14,RETAIL
2023-12-21,GDP
2024-01-05,NFP
2024-01-11,CPI
2024-01-12,PPI
2024-01-17,RETAIL
2024-01-25,GDP
2024-01-31,FOMC
2024-02-02,NFP
2024-02-13,CPI
2024-02-15,RETAIL
2024-02-16,PPI
2024-02-28,GDP
2024-03-08,NFP
2024-03-12,CPI
2024-03-14,PPI
2024-03-14,RETAIL
2024-03-20,FOMC
2024-03-28,GDP
2024-04-05,NFP
2024-04-10,CPI
2024-04-11,PPI
2024-04-15,RETAIL
2024-04-25,GDP
2024-05-01,FOMC
2024-05-03,NFP
2024-05-14,PPI
2024-05-15,CPI
2024-05-15,RETAIL
2024-05-30,GDP
2024-06-07,NFP
2024-06-12,CPI
2024-06-12,FOMC
2024-06-13,PPI
2024-06-18,RETAIL
2024-06-27,GDP
2024-07-05,NFP
2024-07-11,CPI
2024-07-12,PPI
2024-07-16,RETAIL
2024-07-25,GDP
2024-07-31,FOMC
2024-08-02,NFP
2024-08-13,PPI
2024-08-14,CPI
2024-08-15,RETAIL
2024-08-29,GDP
2024-09-06,NFP
2024-09-11,CPI
2024-09-12,PPI
2024-09-17,RETAIL
2024-09-18,FOMC
2024-09-26,GDP
2024-10-04,NFP
2024-10-10,CPI
2024-10-11,PPI
2024-10-17,RETAIL
2024-10-30,GDP
2024-11-01,NFP
2024-11-07,FOMC
2024-11-13,CPI
2024-11-14,PPI
2024-11-15,RETAIL
2024-11-27,GDP
2024-12-06,NFP
2024-12-11,CPI
2024-12-12,PPI
2024-12-17,RETAIL
2024-12-18,FOMC
2024-12-19,GDP
2025-01-10,NFP
2025-01-14,PPI
2025-01-15,CPI
2025-01-16,RETAIL
2025-01-29,FOMC
2025-01-30,GDP
2025-02-07,NFP
2025-02-12,CPI
2025-02-13,PPI
2025-02-14,RETAIL
2025-02-27,GDP
2025-03-07,NFP
2025-03-12,CPI
2025-03-13,PPI
2025-03-17,RETAIL
2025-03-19,FOMC
2025-03-27,GDP
2025-04-04,NFP
2025-04-10,CPI
2025-04-11,PPI
2025-04-16,RETAIL
2025-04-30,GDP
2025-05-02,NFP
2025-05-07,FOMC
2025-05-13,CPI
2025-05-15,PPI
2025-05-15,RETAIL
2025-05-29,GDP
2025-06-06,NFP
2025-06-11,CPI
2025-06-12,PPI
2025-06-17,RETAIL
2025-06-18,FOMC
2025-06-26,GDP
2025-07-03,NFP
2025-07-15,CPI
2025-07-16,PPI
2025-07-17,RETAIL
2025-07-30,FOMC
2025-07-30,GDP
2025-08-01,NFP
2025-08-12,CPI
2025-08-14,PPI
2025-08-15,RETAIL
2025-08-28,GDP
2025-09-05,NFP
2025-09-10,PPI
2025-09-11,CPI
2025-09-16,RETAIL
2025-09-17,FOMC
2025-09-25,GDP
2025-10-24,CPI
2025-10-29,FOMC
2025-11-20,NFP
2025-11-25,PPI
2025-11-25,RETAIL
2025-12-10,FOMC
2025-12-16,NFP
2025-12-16,RETAIL
2025-12-18,CPI
2025-12-23,GDP
2026-01-09,NFP
2026-01-13,CPI
2026-01-14,PPI
2026-01-14,RETAIL
2026-01-22,GDP
2026-01-28,FOMC
2026-01-30,PPI
2026-02-10,RETAIL
2026-02-11,NFP
2026-02-13,CPI
2026-02-20,GDP
2026-02-27,PPI
2026-03-06,NFP
2026-03-06,RETAIL
2026-03-11,CPI
2026-03-13,GDP
2026-03-18,FOMC
2026-03-18,PPI
2026-04-01,RETAIL
2026-04-03,NFP
2026-04-09,GDP
2026-04-10,CPI
2026-04-14,PPI
2026-04-21,RETAIL
2026-04-29,FOMC
2026-04-30,GDP
2026-05-08,NFP
2026-05-12,CPI
2026-05-13,PPI
2026-05-14,RETAIL
2026-05-28,GDP
2026-06-05,NFP
2026-06-10,CPI
2026-06-11,PPI
2026-06-17,FOMC
2026-06-17,RETAIL
2026-06-25,GDP
